# Joint metrics table generated from MetricsOutput.tsv files parsed with file_parser.py / Parse_section_tsv.
# WORKFLOW_TYPE and WORKFLOW_VERSION identify whether each row came from DRAGEN or LocalApp.
# RECORD_TYPE identifies DNA_SAMPLE, RNA_SAMPLE, LOWER_THRESHOLD, or UPPER_THRESHOLD rows.
# DNA-specific metric columns use the DNA_ prefix. RNA-specific metric columns use the RNA_ prefix. Metadata columns do not use DNA_ or RNA_ prefixes.
# Interpret metrics cautiously when multiple workflows contribute data because similarly named metrics can be generated or formatted differently across workflows.
SAMPLE_ID	RUN	WORKFLOW_TYPE	WORKFLOW_VERSION	RECORD_TYPE	COMPLETED_ALL_STEPS	FAILED_STEPS	PCT_PF_READS	PCT_Q30_R1	PCT_Q30_R2	STEPS_NOT_EXECUTED	DNA_ALLELE_DOSAGE_RATIO	DNA_CONTAMINATION_P_VALUE	DNA_CONTAMINATION_SCORE	DNA_COVERAGE_MAD	DNA_EXCESSIVE_TF	DNA_GENE_SCALED_MAD	DNA_MEAN_FAMILY_SIZE	DNA_MEAN_TARGET_COVERAGE	DNA_MEDIAN_BIN_COUNT_CNV_TARGET	DNA_MEDIAN_EXON_COVERAGE	DNA_MEDIAN_INSERT_SIZE	DNA_MEDIAN_TARGET_COVERAGE	DNA_MEDIAN_TARGET_HRD_COVERAGE	DNA_PCT_ALIGNED_READS	DNA_PCT_CHIMERIC_READS	DNA_PCT_CONTAMINATION_EST	DNA_PCT_EXON_100X	DNA_PCT_EXON_50X	DNA_PCT_PF_UQ_READS	DNA_PCT_Q30_BASES	DNA_PCT_READ_ENRICHMENT	DNA_PCT_SOFT_CLIPPED_BASES	DNA_PCT_TARGET_0_4X_MEAN	DNA_PCT_TARGET_100X	DNA_PCT_TARGET_250X	DNA_PCT_TARGET_50X	DNA_PCT_TARGET_HRD_50X	DNA_PCT_USABLE_UMI_READS	DNA_TOTAL_PF_READS	DNA_USABLE_MSI_SITES	RNA_GENE_ABOVE_MEDIAN_CUTOFF	RNA_GENE_MEDIAN_COVERAGE	RNA_MEDIAN_CV_GENE_500X	RNA_MEDIAN_INSERT_SIZE	RNA_PCT_CHIMERIC_READS	RNA_PCT_ON_TARGET_READS	RNA_PCT_Q30_BASES	RNA_PCT_SOFT_CLIPPED_BASES	RNA_SCALED_MEDIAN_GENE_COVERAGE	RNA_TOTAL_ON_TARGET_READS	RNA_TOTAL_PF_READS
TVD0030	240906_A02134_0019_BHHGKGDRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0032	240906_A02134_0019_BHHGKGDRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVD0034	240906_A02134_0019_BHHGKGDRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0036	240906_A02134_0019_BHHGKGDRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVD0038	240906_A02134_0019_BHHGKGDRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0040	240906_A02134_0019_BHHGKGDRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVD0042	240906_A02134_0019_BHHGKGDRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0044	240906_A02134_0019_BHHGKGDRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
LSL_Guideline	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	LOWER_THRESHOLD	NA	NA	NA	NA	NA	NA	NA	0.000	0	0.000	NA	NA	NA	NA	1.0	150	70	NA	NA	NA	NA	NA	NA	90.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	NA	NA	0.00	80	NA	NA	NA	NA	NA	9000000	NA
USL_Guideline	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	UPPER_THRESHOLD	NA	NA	NA	NA	NA	NA	NA	0.049	3106	0.210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.00	NA	NA	NA	NA	NA	NA	NA	NA
IPD0195-R03-P91-A25-0001_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.37	109	0.15	93.0	NA	NA	4648.1	21719468	23347716
IPD0781-D01-P91-A29-0001_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	1.000	783	0.095	NA	NA	5.2	237.9	3.5	214	80	206.0	NA	97.6	2.78	1.1	96.4	99.2	100.0	NA	65.4	NA	95.7	95.1	29.6	NA	NA	99.9	113906788	101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD0781-R03-P91-A29-0001_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.32	105	0.22	92.9	NA	NA	4659.5	23368054	25160638
IPD0820-D01-P91-F08-0011_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	1.000	687	0.134	NA	NA	2.9	615.6	5.7	496	137	473.0	NA	95.1	0.26	1.5	98.2	99.0	100.0	NA	76.2	NA	87.5	97.6	87.2	NA	NA	99.9	93291230	107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD0820-R03-P91-F08-0013_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68.74	160	0.37	88.4	NA	NA	4937.5	26210946	29653976
IPD1295-D01-r02-A15_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	0.000	6665	0.142	NA	NA	3.6	512.0	6.8	508	113	492.0	NA	99.0	0.50	9.3	98.8	99.3	100.0	NA	77.1	NA	95.9	98.5	93.8	NA	NA	99.9	110947446	123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1295-R03-r02-A15_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64.20	112	0.18	95.3	NA	NA	5077.5	25485125	26743554
IPD1468-D01-D01-A04_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	0.015	2584	0.129	NA	NA	3.9	487.7	6.5	487	112	481.0	NA	98.6	0.54	5.5	98.8	99.3	100.0	NA	77.9	NA	96.1	98.2	93.4	NA	NA	99.9	113344086	121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1468-R03-D01-A04_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53.32	102	0.23	90.5	NA	NA	3865.3	18664982	20623400
IPD1469-D01-P01-A18_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	0.990	1209	0.228	NA	NA	3.5	436.7	2.5	186	99	159.0	NA	98.6	3.79	1.5	72.9	98.1	100.0	NA	70.7	NA	47.7	70.7	41.2	NA	NA	99.9	102863016	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1469-R03-P01-A18_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53.20	110	0.14	93.4	NA	NA	5659.3	26646190	28515962
IPD1470-D01-D01-A18_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	1.000	268	0.099	NA	NA	3.1	509.5	7.0	502	104	490.0	NA	99.2	0.96	0.6	98.9	99.4	100.0	NA	77.3	NA	96.7	98.3	95.7	NA	NA	99.9	99050706	124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1470-R03-D01-A18_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59.67	95	0.17	93.5	NA	NA	3494.4	17548469	18760616
IPD1471-D01-X01-A25_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	0.012	5821	0.189	NA	NA	4.1	589.2	6.9	511	111	497.0	NA	98.9	0.57	10.3	98.5	99.2	100.0	NA	79.7	NA	91.8	98.0	90.6	NA	NA	99.9	142979388	118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1471-R03-X01-A25_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.01	113	0.13	96.0	NA	NA	5834.5	28360743	29548906
IPD1472-D01-e02-M17_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	0.313	10942	0.079	NA	NA	4.9	456.9	5.5	475	136	448.0	NA	97.0	0.22	18.0	98.5	99.1	100.0	NA	78.5	NA	94.5	98.0	88.4	NA	NA	99.9	118967158	108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1472-R03-e02-M17_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53.52	124	0.14	91.9	NA	NA	6017.7	27573296	30000048
IPD1473-D01-X01-AXX_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	1.000	217	0.094	NA	NA	2.9	650.2	7.9	615	116	570.0	NA	99.1	1.07	0.5	99.1	99.5	100.0	NA	75.4	NA	95.4	98.6	95.8	NA	NA	99.9	110260400	124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1473-R03-X01-AXX_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.99	109	0.15	93.9	NA	NA	5749.8	28166230	30001952
IPD1474-D01-P01-A10_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	1.000	69	0.084	NA	NA	3.6	576.4	7.8	584	107	577.0	NA	97.7	0.65	0.4	99.0	99.4	100.0	NA	78.2	NA	95.9	98.6	95.3	NA	NA	99.9	125986840	119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1475-D01-r01-A30_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	0.001	4996	0.165	NA	NA	3.4	612.3	8.4	626	114	612.0	NA	98.6	0.26	3.5	98.5	99.3	100.0	NA	78.0	NA	95.2	98.1	95.0	NA	NA	99.9	122788806	123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1475-R03-r01-A30_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.32	111	0.14	93.5	NA	NA	5040.7	24963796	26709240
IPD1476-D01-P01-A18_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	1.000	3910	0.177	NA	NA	3.2	586.2	7.3	552	118	534.0	NA	98.9	0.84	1.8	98.7	99.2	100.0	NA	77.3	NA	94.7	98.3	94.1	NA	NA	99.9	107736886	122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1476-R03-P01-A18_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.03	119	0.15	90.2	NA	NA	4897.4	24243022	26864076
IPD1477-D01-P01-A08_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	1.000	254	0.100	NA	NA	4.8	337.0	4.8	335	97	326.0	NA	98.8	2.77	0.7	98.4	99.2	100.0	NA	76.6	NA	96.4	97.9	82.1	NA	NA	99.9	106921468	119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1479-D01-P01-A08_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	0.999	1151	0.144	NA	NA	4.2	447.1	4.9	374	104	337.0	NA	98.9	1.65	1.6	98.3	99.4	100.0	NA	79.8	NA	88.9	97.5	74.0	NA	NA	99.9	112761358	105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1479-R03-P01-A08_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52.85	130	0.13	96.1	NA	NA	5413.1	28818092	30003066
IPD1481-R03-P01-A23_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70.70	102	0.16	94.6	NA	NA	3909.0	21837746	23093124
IPD1482-D01-P11-A08_P	240906_A02134_0019_BHHGKGDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	89.1	95.9	95.1	NA	NA	1.000	348	0.100	NA	NA	5.4	318.8	4.5	329	111	328.0	NA	99.0	0.77	1.6	96.4	98.5	100.0	NA	79.1	NA	93.7	96.0	72.1	NA	NA	99.9	101354730	112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LSL_Guideline	240927_A02134_0024_BHHGG7DRX5	dragen	2.6.2.4	LOWER_THRESHOLD	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0.000	NA	NA	1.0	150	70	NA	NA	NA	NA	NA	NA	90.0	NA	NA	NA	NA	NA	NA	NA	NA	50.0	NA	NA	40	NA	NA	0.00	80	NA	NA	NA	NA	NA	2500000	NA
USL_Guideline	240927_A02134_0024_BHHGG7DRX5	dragen	2.6.2.4	UPPER_THRESHOLD	NA	NA	NA	NA	NA	NA	NA	NA	1457	NA	0	0.134	NA	NA	NA	NA	NA	NA	NA	NA	8.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.93	NA	NA	NA	NA	NA	NA	NA	NA
TVD0016	240927_A02134_0024_BHHGG7DRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0014	240927_A02134_0024_BHHGG7DRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVR0017	240927_A02134_0024_BHHGG7DRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVD0018	240927_A02134_0024_BHHGG7DRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0020	240927_A02134_0024_BHHGG7DRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVD0022	240927_A02134_0024_BHHGG7DRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0024	240927_A02134_0024_BHHGG7DRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVD0026	240927_A02134_0024_BHHGG7DRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0028	240927_A02134_0024_BHHGG7DRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVD0030	240927_A02134_0024_BHHGG7DRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0032	240927_A02134_0024_BHHGG7DRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVD0034	240927_A02134_0024_BHHGG7DRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0036	240927_A02134_0024_BHHGG7DRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVD0038	240927_A02134_0024_BHHGG7DRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0040	240927_A02134_0024_BHHGG7DRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVD0042	240927_A02134_0024_BHHGG7DRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0044	240927_A02134_0024_BHHGG7DRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
LSL_Guideline	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	LOWER_THRESHOLD	NA	NA	NA	NA	NA	NA	NA	0.000	0	0.000	NA	NA	NA	NA	1.0	150	70	NA	NA	NA	NA	NA	NA	90.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	NA	NA	0.00	80	NA	NA	NA	NA	NA	9000000	NA
USL_Guideline	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	UPPER_THRESHOLD	NA	NA	NA	NA	NA	NA	NA	0.049	3106	0.210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.00	NA	NA	NA	NA	NA	NA	NA	NA
